campus,building_name,location,mercator_coordinates
SBU WEST,Douglass College,"MULTIPOINT((40.908831623643884 -73.12663334062553), (40.9088256582915 -73.12663610147307), (40.909165301333616 -73.1261786537777))","MULTIPOINT ((-8140419.585771701 4998903.634375402), (-8140419.893107842 4998902.755701591), (-8140368.970263337 4998952.783961232))"
SBU WEST,Dreiser College,MULTIPOINT((40.90890486308464 -73.1274839456325)),MULTIPOINT ((-8140514.27468793 4998914.422274027))
SBU SOUTH,Dutchess Hall,MULTIPOINT((40.90537035981121 -73.11908214108273)),MULTIPOINT ((-8139578.990083835 4998393.816645283))
SBU WEST,Earth and Space Sciences,"MULTIPOINT((40.914859718999985 -73.12568854388567), (40.91540124291963 -73.12564925536545), (40.91465239848617 -73.12491798214927))","MULTIPOINT ((-8140314.411479731 4999791.5905019455), (-8140310.037901666 4999871.362526909), (-8140228.632939622 4999761.050237824))"
SBU WEST,East Side Dining,MULTIPOINT((40.91696546269782 -73.12085132464594)),MULTIPOINT ((-8139775.934697185 5000101.791806258))
SBU WEST,Educational Communications Center (ECC),MULTIPOINT((40.913386635352055 -73.12275653958427)),MULTIPOINT ((-8139988.022253941 4999574.593485196))
SBU WEST,Eisenhower College,"MULTIPOINT((40.914311228172764 -73.13198702284122), (40.914655080155946 -73.13193738445992), (40.91477699088416 -73.13147616116714))","MULTIPOINT ((-8141015.554949736 4999710.792846181), (-8141010.029230407 4999761.445272424), (-8140958.686088321 4999779.403859907))"
SBU SOUTH,Endeavour Hall,MULTIPOINT((40.90430992555595 -73.11776463861784)),MULTIPOINT ((-8139432.326380346 4998237.628117541))
SBU WEST,Engineering,"MULTIPOINT((40.91306685848932 -73.12442535257173), (40.91374886173387 -73.12445984116599), (40.91337825090078 -73.1245356205961))","MULTIPOINT ((-8140173.793665908 4999527.488431484), (-8140177.632918659 4999627.951883398), (-8140186.068646231 4999573.358402223))"
SBU WEST,Fine Arts Center,MULTIPOINT((40.916008202302024 -73.12150608748196)),MULTIPOINT ((-8139848.822562669 4999960.774643022))
SBU WEST,Frey Hall,"MULTIPOINT((40.91558563627136 -73.12388067917774), (40.91602175567831 -73.12390741838294), (40.915361540616615 -73.12393908213986))","MULTIPOINT ((-8140113.16090105 4999898.525707115), (-8140116.137495756 4999962.771221013), (-8140119.662289051 4999865.513948454))"
SBU WEST,Gershwin College,"MULTIPOINT((40.910988956690176 -73.12247600628783), (40.91117565346732 -73.12246191244634), (40.91137936810107 -73.1225142155221))","MULTIPOINT ((-8139956.793430234 4999221.406558578), (-8139955.224510977 4999248.907223894), (-8139961.046862737 4999278.914729048))"
SBU WEST,Gray College,"MULTIPOINT((40.91753538736721 -73.12130965296632), (40.917860711670265 -73.12124335524638), (40.91784865226326 -73.12049623236568))","MULTIPOINT ((-8139826.955572417 5000185.750245207), (-8139819.575343994 5000233.675711614), (-8139736.406005367 5000231.899164125))"
SBU WEST,Greeley College,"MULTIPOINT((40.91215864563083 -73.13090559511102), (40.91199664055267 -73.13104841459155), (40.91176252288242 -73.131036344651))","MULTIPOINT ((-8140895.170965498 4999393.704461592), (-8140911.069557344 4999369.840554715), (-8140909.725937708 4999335.35431756))"
SBU WEST,H Quad,MULTIPOINT((40.919756146972624 -73.11955512286765)),MULTIPOINT ((-8139631.64217528 5000512.908298933))
SBU WEST,Hamilton College,"MULTIPOINT((40.913866613495436 -73.13105894332803),(40.9139308270296 -73.130532294643),(40.913634342294905 -73.1303201794482))","MULTIPOINT ((-8140912.2416109275 4999645.297577987), (-8140853.615347492 4999654.756713635), (-8140830.00279202 4999611.082363176))"
SBU WEST,Hand College,"MULTIPOINT((40.90964538203458 -73.12625867736341), (40.90997155204449 -73.12623790521056), (40.90961078938666 -73.12577267915454))","MULTIPOINT ((-8140377.878448148 4999023.498646506), (-8140375.5661026705 4999071.54296525), (-8140323.777375017 4999018.403218915))"
SBU WEST,Harriman Hall,MULTIPOINT((40.91582015595291 -73.12526272172866)),MULTIPOINT ((-8140267.00917405 4999933.073159589))
SBU EAST,Health Sciences Tower,MULTIPOINT((40.9097922281168 -73.11617248540063)),MULTIPOINT ((-8139255.088694965 4999045.128809304))
SBU WEST,Heavy Engineering,MULTIPOINT((40.91242736843378 -73.12588547138193)),MULTIPOINT ((-8140336.333348335 4999433.288386416))
SBU WEST,Hendrix College,MULTIPOINT((40.91187102927226 -73.12304116569398)),MULTIPOINT ((-8140019.706687535 4999351.337620041))
SBU WEST,Hilton Garden Inn,MULTIPOINT((40.91369410378366 -73.11832343942382)),MULTIPOINT ((-8139494.531801512 4999619.885647884))
SBU EAST,Hospital,MULTIPOINT((40.909405446879596 -73.11528861142965)),MULTIPOINT ((-8139156.696294603 4998988.156734726))
SBU WEST,Humanities,MULTIPOINT((40.913915998658254 -73.12102899599914)),MULTIPOINT ((-8139795.712981747 4999652.572382398))
SBU R&D,Innovation and Discovery Center,MULTIPOINT((40.90129870740744 -73.1342352175606)),MULTIPOINT ((-8141265.822841068 4997794.127495392))
SBU WEST,Institute for Advanced Computational Science (IACS),MULTIPOINT((40.91207566324339 -73.12101518889874)),MULTIPOINT ((-8139794.175982362 4999381.480862356))
SBU WEST,Irving College,MULTIPOINT((40.91770846949656 -73.11970772716211)),MULTIPOINT ((-8139648.630007628 5000211.24797823))
SBU WEST,James College,"MULTIPOINT((40.919324650336996 -73.12023339315878), (40.91955196355861 -73.12093161517626))","MULTIPOINT ((-8139707.146878698 5000449.340180261), (-8139784.872598133 5000482.827930417))"
SBU WEST,Javits Lecture Center,MULTIPOINT((40.912954128534594 -73.1220820245197)),MULTIPOINT ((-8139912.9355804315 4999510.882685972))
SBU WEST,Joe Nathan Field,MULTIPOINT((40.92356614587029 -73.12233700990757)),MULTIPOINT ((-8139941.320423964 5001074.215649499))
SBU WEST,Keller College,"MULTIPOINT((40.91144342539594 -73.1299112060979), (40.91169847677204 -73.12962536307296), (40.91167397741812 -73.130700724251))","MULTIPOINT ((-8140784.476086923 4999288.35049447), (-8140752.656186945 4999325.920154099), (-8140872.364845685 4999322.311336117))"
SBU WEST,Kelly Quad,MULTIPOINT((40.913657152125225 -73.13159452597198)),MULTIPOINT ((-8140971.8623981215 4999614.442409562))
SBU WEST,Kenneth P. LaValle Athletic Stadium,MULTIPOINT((40.91884321420275 -73.1243075400952)),MULTIPOINT ((-8140160.678841013 5000378.415460476))
SBU WEST,Langmuir College,MULTIPOINT((40.92013918911394 -73.12009516212385)),MULTIPOINT ((-8139691.759070278 5000569.33844535))
SBU WEST,Lauterbur Hall,MULTIPOINT((40.91266088413283 -73.12988415532304)),MULTIPOINT ((-8140781.46480844 4999467.686297138))
SBU WEST,"Library, Chemistry",MULTIPOINT((40.916550470467364 -73.12367757413834)),MULTIPOINT ((-8140090.551351489 5000040.657691252))
SBU WEST,"Library, Frank Melville Jr. Memorial",MULTIPOINT((40.915457166827466 -73.12272160736028)),MULTIPOINT ((-8139984.133616554 4999879.600729077))
